160,177,194,211,160,177,194,211,160,177,194,211,160,177,
3,1,1,137,149,149,149,149,149,149,150,1,1,3,
3,3,137,140,1,194,23,3,160,1,147,150,3,3,
3,3,156,3,3,1,3,3,1,3,3,176,3,3,
3,3,156,3,3,211,1,1,177,3,3,176,3,3,
3,3,156,1,3,3,3,3,3,3,1,176,3,3,
177,1,154,155,155,142,143,99,155,155,155,157,1,194,
3,3,3,3,3,3,22,3,3,3,3,3,3,3,
3,3,3,3,3,3,3,3,3,3,3,3,3,3,
1,160,1,1,177,1,1,194,141,155,142,143,99,146,
3,20,3,3,3,3,3,3,176,1,3,3,1,156,
1,177,1,1,160,1,1,211,176,3,3,3,3,156,
3,20,3,3,3,3,3,3,176,177,1,1,211,156,
1,211,1,1,194,1,1,177,176,3,3,21,3,156
