434,317,319,320,319,320,319,320,319,320,319,320,90,91,
354,316,338,338,338,338,338,338,338,338,338,338,92,101,
353,315,338,337,338,337,338,338,337,338,337,338,93,94,
433,356,338,338,338,338,338,338,338,338,338,338,95,94,
434,355,338,337,338,337,338,338,337,338,337,338,96,97,
313,396,338,338,338,338,338,338,338,338,338,338,98,99,
354,395,338,337,338,337,338,338,337,338,337,338,100,101,
353,436,338,338,338,338,338,338,338,338,338,338,102,94,
354,435,338,337,338,337,338,338,337,338,337,338,103,94,
353,316,338,338,338,338,338,338,338,338,338,338,92,104,
313,315,338,337,338,337,338,338,337,338,337,338,93,104,
353,356,338,338,338,338,338,338,338,338,338,338,95,91,
354,438,479,105,479,105,479,105,479,105,479,105,106,104,
393,433,107,107,108,107,108,107,108,107,108,107,314,94
